2026-05-28 10:45:20 | INFO     | embedder | Loading embedding model: all-MiniLM-L6-v2
2026-05-28 10:45:31 | INFO     | embedder | Embedding model ready
2026-05-28 10:48:23 | INFO     | embedder | Loading embedding model: all-MiniLM-L6-v2
2026-05-28 10:48:54 | INFO     | embedder | Embedding model ready
2026-05-28 11:25:37 | INFO     | embedder | Loading embedding model: all-MiniLM-L6-v2
2026-05-28 11:25:48 | INFO     | embedder | Embedding model ready
2026-05-29 10:43:12 | INFO     | embedder | Loading embedding model: all-MiniLM-L6-v2
2026-05-29 10:43:20 | INFO     | embedder | Embedding model ready
2026-05-29 10:52:55 | INFO     | embedder | Loading embedding model: all-MiniLM-L6-v2
2026-05-29 10:53:02 | INFO     | embedder | Embedding model ready
2026-05-29 14:19:40 | INFO     | embedder | Loading embedding model: all-MiniLM-L6-v2
2026-05-29 14:19:47 | INFO     | embedder | Embedding model ready
2026-05-29 15:37:37 | INFO     | embedder | Loading embedding model: all-MiniLM-L6-v2
2026-05-29 15:37:47 | INFO     | embedder | Embedding model ready
2026-05-29 16:01:53 | INFO     | embedder | Loading embedding model: all-MiniLM-L6-v2
2026-05-29 16:02:03 | INFO     | embedder | Embedding model ready
