2026-05-26 17:56:21 | DEBUG    | browser | Downloaded: GeM-Bidding-9314303.pdf
2026-05-26 17:56:30 | DEBUG    | browser | Downloaded: GeM-Bidding-9313859.pdf
2026-05-26 17:56:50 | DEBUG    | browser | Downloaded: GeM-Bidding-9321309.pdf
2026-05-26 17:57:06 | DEBUG    | browser | Downloaded: GeM-Bidding-9333908.pdf
2026-05-26 17:57:24 | DEBUG    | browser | Filters reset
2026-05-26 17:57:24 | INFO     | browser | Selecting filter: Global Tender
2026-05-26 17:57:34 | DEBUG    | browser | Downloaded: GeM-Bidding-9246893.pdf
2026-05-26 17:57:48 | DEBUG    | browser | Downloaded: GeM-Bidding-9255239.pdf
2026-05-26 17:57:57 | DEBUG    | browser | Downloaded: GeM-Bidding-9295700.pdf
2026-05-26 17:58:06 | DEBUG    | browser | Downloaded: GeM-Bidding-9206750.pdf
2026-05-26 17:58:12 | DEBUG    | browser | Downloaded: GeM-Bidding-9351575.pdf
2026-05-26 17:58:22 | DEBUG    | browser | Downloaded: GeM-Bidding-9257018.pdf
2026-05-26 17:58:31 | DEBUG    | browser | Downloaded: GeM-Bidding-9318506.pdf
2026-05-26 17:58:41 | DEBUG    | browser | Downloaded: GeM-Bidding-9284375.pdf
2026-05-26 17:58:56 | DEBUG    | browser | Downloaded: GeM-Bidding-9383406.pdf
2026-05-26 17:59:33 | DEBUG    | browser | Filters reset
2026-05-26 17:59:33 | INFO     | browser | Selecting filter: Limited Tender
2026-05-26 17:59:41 | DEBUG    | browser | Downloaded: GeM-Bidding-9286839.pdf
2026-05-26 17:59:51 | DEBUG    | browser | Downloaded: GeM-Bidding-9286797.pdf
2026-05-26 17:59:59 | DEBUG    | browser | Downloaded: GeM-Bidding-9320013.pdf
2026-05-26 18:00:09 | DEBUG    | browser | Downloaded: GeM-Bidding-9351832.pdf
2026-05-26 18:00:18 | DEBUG    | browser | Downloaded: GeM-Bidding-9342988.pdf
2026-05-26 18:00:26 | DEBUG    | browser | Downloaded: GeM-Bidding-9371936.pdf
2026-05-26 18:00:34 | DEBUG    | browser | Downloaded: GeM-Bidding-9312381.pdf
2026-05-26 18:00:42 | DEBUG    | browser | Downloaded: GeM-Bidding-9306522.pdf
2026-05-26 18:00:54 | DEBUG    | browser | Downloaded: GeM-Bidding-9307405.pdf
2026-05-26 18:01:11 | DEBUG    | browser | Downloaded: GeM-Bidding-9068614.pdf
2026-05-26 18:01:31 | DEBUG    | browser | Filters reset
2026-05-26 18:01:31 | INFO     | browser | Selecting filter: Single Tender
2026-05-26 18:01:40 | DEBUG    | browser | Downloaded: GeM-Bidding-9286719.pdf
2026-05-26 18:01:52 | DEBUG    | browser | Downloaded: GeM-Bidding-9336119.pdf
2026-05-26 18:02:15 | DEBUG    | browser | Downloaded: GeM-Bidding-9372791.pdf
2026-05-26 18:02:24 | DEBUG    | browser | Downloaded: GeM-Bidding-9298987.pdf
2026-05-26 18:02:32 | DEBUG    | browser | Downloaded: GeM-Bidding-9308052.pdf
2026-05-26 18:02:41 | DEBUG    | browser | Downloaded: GeM-Bidding-9305223.pdf
2026-05-26 18:02:49 | DEBUG    | browser | Downloaded: GeM-Bidding-9304998.pdf
2026-05-26 18:02:58 | DEBUG    | browser | Downloaded: GeM-Bidding-9287305.pdf
2026-05-26 18:03:08 | DEBUG    | browser | Downloaded: GeM-Bidding-9307675.pdf
2026-05-26 18:03:16 | DEBUG    | browser | Downloaded: GeM-Bidding-9304882.pdf
2026-05-26 18:03:25 | INFO     | browser | Browser closed
2026-05-27 15:14:29 | INFO     | browser | Browser launched (stealth mode)
2026-05-27 15:14:29 | INFO     | browser | Opening: https://bidplus.gem.gov.in/all-bids
2026-05-27 15:14:47 | INFO     | browser | GeM listing page loaded
2026-05-27 15:14:52 | DEBUG    | browser | Filters reset
2026-05-27 15:14:52 | INFO     | browser | Selecting filter: Product Bid/RAs
2026-05-27 15:15:01 | DEBUG    | browser | Downloaded: GeM-Bidding-8552631.pdf
2026-05-27 15:15:08 | DEBUG    | browser | Downloaded: GeM-Bidding-9194531.pdf
2026-05-27 15:18:34 | DEBUG    | browser | Downloaded: GeM-Bidding-9117370.pdf
2026-05-27 15:18:57 | DEBUG    | browser | Downloaded: GeM-Bidding-8894629.pdf
2026-05-27 15:19:09 | DEBUG    | browser | Downloaded: GeM-Bidding-9311380.pdf
2026-05-27 15:19:25 | DEBUG    | browser | Downloaded: GeM-Bidding-8498005.pdf
2026-05-27 15:20:03 | DEBUG    | browser | Downloaded: GeM-Bidding-9192579.pdf
2026-05-27 15:20:21 | DEBUG    | browser | Downloaded: GeM-Bidding-8966485.pdf
2026-05-27 15:21:29 | DEBUG    | browser | Downloaded: GeM-Bidding-8985804.pdf
2026-05-27 15:22:31 | WARNING  | browser | Download attempt 1/3 failed for https://bidplus.gem.gov.in/showbidDocument/9323782: Timeout 60000ms exceeded while waiting for event "download"
=========================== logs ===========================
waiting for event "download"
============================================================
2026-05-27 15:22:42 | WARNING  | browser | Download attempt 2/3 failed for https://bidplus.gem.gov.in/showbidDocument/9323782: Page.evaluate: Execution context was destroyed, most likely because of a navigation
2026-05-27 15:22:57 | DEBUG    | browser | Downloaded: GeM-Bidding-9323782.pdf
2026-05-27 15:23:16 | DEBUG    | browser | Filters reset
2026-05-27 15:23:16 | INFO     | browser | Selecting filter: Service Bid/RAs
2026-05-27 15:23:25 | DEBUG    | browser | Downloaded: GeM-Bidding-9001875.pdf
2026-05-27 15:23:36 | DEBUG    | browser | Downloaded: GeM-Bidding-9220246.pdf
2026-05-27 15:23:45 | DEBUG    | browser | Downloaded: GeM-Bidding-9187501.pdf
2026-05-27 15:23:54 | DEBUG    | browser | Downloaded: GeM-Bidding-8979674.pdf
2026-05-27 15:24:02 | DEBUG    | browser | Downloaded: GeM-Bidding-9189730.pdf
2026-05-27 15:24:10 | DEBUG    | browser | Downloaded: GeM-Bidding-9086944.pdf
2026-05-27 15:24:18 | DEBUG    | browser | Downloaded: GeM-Bidding-9285862.pdf
2026-05-27 15:24:28 | DEBUG    | browser | Downloaded: GeM-Bidding-8811625.pdf
2026-05-27 15:24:36 | DEBUG    | browser | Downloaded: GeM-Bidding-9095342.pdf
2026-05-27 15:24:46 | DEBUG    | browser | Downloaded: GeM-Bidding-9236532.pdf
2026-05-27 15:25:01 | DEBUG    | browser | Filters reset
2026-05-27 15:25:01 | INFO     | browser | Selecting filter: Bid To RAs
2026-05-27 15:25:10 | DEBUG    | browser | Downloaded: GeM-Bidding-9224935.pdf
2026-05-27 15:25:18 | DEBUG    | browser | Downloaded: GeM-Bidding-9228975.pdf
2026-05-27 15:25:29 | DEBUG    | browser | Downloaded: GeM-Bidding-8529871.pdf
2026-05-27 15:25:39 | DEBUG    | browser | Downloaded: GeM-Bidding-9272985.pdf
2026-05-27 15:25:48 | DEBUG    | browser | Downloaded: GeM-Bidding-9262585.pdf
2026-05-27 15:26:04 | DEBUG    | browser | Downloaded: GeM-Bidding-9182343.pdf
2026-05-27 15:26:12 | DEBUG    | browser | Downloaded: GeM-Bidding-8965529.pdf
2026-05-27 15:26:22 | DEBUG    | browser | Downloaded: GeM-Bidding-8911186.pdf
2026-05-27 15:26:30 | DEBUG    | browser | Downloaded: GeM-Bidding-8758864.pdf
2026-05-27 15:26:41 | DEBUG    | browser | Downloaded: GeM-Bidding-8871567.pdf
2026-05-27 15:26:55 | DEBUG    | browser | Filters reset
2026-05-27 15:26:55 | INFO     | browser | Selecting filter: Product Custom Bid/RAs
2026-05-27 15:27:06 | DEBUG    | browser | Downloaded: GeM-Bidding-9001099.pdf
2026-05-27 15:27:17 | DEBUG    | browser | Downloaded: GeM-Bidding-9232371.pdf
2026-05-27 15:27:25 | DEBUG    | browser | Downloaded: GeM-Bidding-9032737.pdf
2026-05-27 15:27:34 | DEBUG    | browser | Downloaded: GeM-Bidding-9204476.pdf
2026-05-27 15:27:53 | DEBUG    | browser | Downloaded: GeM-Bidding-9160153.pdf
2026-05-27 15:28:03 | DEBUG    | browser | Downloaded: GeM-Bidding-8893596.pdf
2026-05-27 15:28:14 | DEBUG    | browser | Downloaded: GeM-Bidding-9224229.pdf
