2026-05-26 17:58:08 | DEBUG    | vector_store | Upserted 24 chunks for GEM/2026/B/7429899
2026-05-26 17:58:14 | DEBUG    | vector_store | Upserted 20 chunks for GEM/2026/B/7560028
2026-05-26 17:58:25 | DEBUG    | vector_store | Upserted 45 chunks for GEM/2026/B/7475057
2026-05-26 17:58:35 | DEBUG    | vector_store | Upserted 34 chunks for GEM/2026/B/7530104
2026-05-26 17:58:48 | DEBUG    | vector_store | Upserted 20 chunks for GEM/2026/B/7499373
2026-05-26 17:58:58 | DEBUG    | vector_store | Upserted 29 chunks for GEM/2026/B/7588495
2026-05-26 17:59:46 | DEBUG    | vector_store | Upserted 48 chunks for GEM/2026/B/7501559
2026-05-26 17:59:54 | DEBUG    | vector_store | Upserted 27 chunks for GEM/2026/B/7501526
2026-05-26 18:00:03 | DEBUG    | vector_store | Upserted 35 chunks for GEM/2026/B/7531528
2026-05-26 18:00:12 | DEBUG    | vector_store | Upserted 37 chunks for GEM/2026/B/7560267
2026-05-26 18:00:21 | DEBUG    | vector_store | Upserted 26 chunks for GEM/2026/B/7552342
2026-05-26 18:00:28 | DEBUG    | vector_store | Upserted 24 chunks for GEM/2026/B/7578341
2026-05-26 18:00:36 | DEBUG    | vector_store | Upserted 25 chunks for GEM/2026/B/7524635
2026-05-26 18:00:48 | DEBUG    | vector_store | Upserted 51 chunks for GEM/2026/B/7519521
2026-05-26 18:00:58 | DEBUG    | vector_store | Upserted 23 chunks for GEM/2026/B/7520307
2026-05-26 18:01:16 | DEBUG    | vector_store | Upserted 43 chunks for GEM/2026/B/7311446
2026-05-26 18:01:47 | DEBUG    | vector_store | Upserted 50 chunks for GEM/2026/B/7501467
2026-05-26 18:02:09 | DEBUG    | vector_store | Upserted 158 chunks for GEM/2026/B/7546274
2026-05-26 18:02:18 | DEBUG    | vector_store | Upserted 25 chunks for GEM/2026/B/7579099
2026-05-26 18:02:27 | DEBUG    | vector_store | Upserted 20 chunks for GEM/2026/B/7512626
2026-05-26 18:02:36 | DEBUG    | vector_store | Upserted 38 chunks for GEM/2026/B/7520859
2026-05-26 18:02:43 | DEBUG    | vector_store | Upserted 19 chunks for GEM/2026/B/7518305
2026-05-26 18:02:52 | DEBUG    | vector_store | Upserted 26 chunks for GEM/2026/B/7518093
2026-05-26 18:03:02 | DEBUG    | vector_store | Upserted 37 chunks for GEM/2026/B/7501945
2026-05-26 18:03:10 | DEBUG    | vector_store | Upserted 19 chunks for GEM/2026/B/7520545
2026-05-26 18:03:20 | DEBUG    | vector_store | Upserted 28 chunks for GEM/2026/B/7517987
2026-05-26 18:07:21 | INFO     | vector_store | ChromaDB ready — collection 'gem_bids' (3699 chunks)
2026-05-26 18:07:44 | INFO     | vector_store | ChromaDB ready — collection 'gem_bids' (3699 chunks)
2026-05-26 18:09:50 | INFO     | vector_store | ChromaDB ready — collection 'gem_bids' (3699 chunks)
2026-05-26 18:41:45 | INFO     | vector_store | ChromaDB ready — collection 'gem_bids' (3699 chunks)
2026-05-26 18:48:14 | INFO     | vector_store | ChromaDB ready — collection 'gem_bids' (3699 chunks)
2026-05-26 19:12:27 | INFO     | vector_store | ChromaDB ready — collection 'gem_bids' (3699 chunks)
2026-05-26 19:16:01 | INFO     | vector_store | ChromaDB ready — collection 'gem_bids' (3699 chunks)
2026-05-26 19:18:54 | INFO     | vector_store | ChromaDB ready — collection 'gem_bids' (3699 chunks)
2026-05-26 21:27:48 | INFO     | vector_store | ChromaDB ready — collection 'gem_bids' (3699 chunks)
2026-05-26 21:34:53 | INFO     | vector_store | ChromaDB ready — collection 'gem_bids' (3699 chunks)
2026-05-26 21:35:31 | INFO     | vector_store | ChromaDB ready — collection 'gem_bids' (3699 chunks)
2026-05-26 21:39:08 | INFO     | vector_store | ChromaDB ready — collection 'gem_bids' (3699 chunks)
2026-05-27 10:12:21 | INFO     | vector_store | ChromaDB ready — collection 'gem_bids' (3699 chunks)
2026-05-27 10:16:55 | INFO     | vector_store | Starting full re-index from SQLite...
2026-05-27 10:16:55 | INFO     | vector_store | Upserting 89 bids into vector store...
2026-05-27 10:16:55 | INFO     | vector_store | ChromaDB ready — collection 'gem_bids' (3699 chunks)
2026-05-27 10:17:11 | DEBUG    | vector_store | Upserted 28 chunks for GEM/2026/B/7517987
2026-05-27 10:17:12 | DEBUG    | vector_store | Upserted 19 chunks for GEM/2026/B/7520545
2026-05-27 10:17:13 | DEBUG    | vector_store | Upserted 37 chunks for GEM/2026/B/7501945
2026-05-27 10:17:14 | DEBUG    | vector_store | Upserted 26 chunks for GEM/2026/B/7518093
2026-05-27 10:17:14 | DEBUG    | vector_store | Upserted 19 chunks for GEM/2026/B/7518305
2026-05-27 10:17:16 | DEBUG    | vector_store | Upserted 38 chunks for GEM/2026/B/7520859
2026-05-27 10:17:16 | DEBUG    | vector_store | Upserted 20 chunks for GEM/2026/B/7512626
2026-05-27 10:17:17 | DEBUG    | vector_store | Upserted 25 chunks for GEM/2026/B/7579099
2026-05-27 10:17:21 | DEBUG    | vector_store | Upserted 158 chunks for GEM/2026/B/7546274
2026-05-27 10:17:22 | DEBUG    | vector_store | Upserted 50 chunks for GEM/2026/B/7501467
2026-05-27 10:17:22 | INFO     | vector_store |   Indexed 10/89
2026-05-27 10:17:23 | DEBUG    | vector_store | Upserted 43 chunks for GEM/2026/B/7311446
2026-05-27 10:17:24 | DEBUG    | vector_store | Upserted 23 chunks for GEM/2026/B/7520307
2026-05-27 10:17:25 | DEBUG    | vector_store | Upserted 51 chunks for GEM/2026/B/7519521
2026-05-27 10:17:26 | DEBUG    | vector_store | Upserted 25 chunks for GEM/2026/B/7524635
2026-05-27 10:17:26 | DEBUG    | vector_store | Upserted 24 chunks for GEM/2026/B/7578341
2026-05-27 10:17:27 | DEBUG    | vector_store | Upserted 26 chunks for GEM/2026/B/7552342
2026-05-27 10:17:28 | DEBUG    | vector_store | Upserted 37 chunks for GEM/2026/B/7560267
2026-05-27 10:17:29 | DEBUG    | vector_store | Upserted 35 chunks for GEM/2026/B/7531528
2026-05-27 10:17:30 | DEBUG    | vector_store | Upserted 27 chunks for GEM/2026/B/7501526
2026-05-27 10:17:31 | DEBUG    | vector_store | Upserted 48 chunks for GEM/2026/B/7501559
2026-05-27 10:17:31 | INFO     | vector_store |   Indexed 20/89
2026-05-27 10:17:32 | DEBUG    | vector_store | Upserted 29 chunks for GEM/2026/B/7588495
2026-05-27 10:17:32 | DEBUG    | vector_store | Upserted 20 chunks for GEM/2026/B/7499373
2026-05-27 10:17:33 | DEBUG    | vector_store | Upserted 34 chunks for GEM/2026/B/7530104
2026-05-27 10:17:35 | DEBUG    | vector_store | Upserted 45 chunks for GEM/2026/B/7475057
2026-05-27 10:17:35 | DEBUG    | vector_store | Upserted 20 chunks for GEM/2026/B/7560028
2026-05-27 10:17:36 | DEBUG    | vector_store | Upserted 24 chunks for GEM/2026/B/7429899
2026-05-27 10:17:37 | DEBUG    | vector_store | Upserted 36 chunks for GEM/2026/B/7509648
2026-05-27 10:17:37 | DEBUG    | vector_store | Upserted 20 chunks for GEM/2026/B/7473435
2026-05-27 10:17:38 | DEBUG    | vector_store | Upserted 53 chunks for GEM/2026/B/7465807
2026-05-27 10:17:40 | DEBUG    | vector_store | Upserted 55 chunks for GEM/2026/B/7544252
2026-05-27 10:17:40 | INFO     | vector_store |   Indexed 30/89
2026-05-27 10:17:41 | DEBUG    | vector_store | Upserted 63 chunks for GEM/2026/B/7532717
2026-05-27 10:17:43 | DEBUG    | vector_store | Upserted 79 chunks for GEM/2026/B/7525919
2026-05-27 10:17:44 | DEBUG    | vector_store | Upserted 31 chunks for GEM/2026/B/7526325
2026-05-27 10:17:46 | DEBUG    | vector_store | Upserted 80 chunks for GEM/2026/B/7514993
2026-05-27 10:17:47 | DEBUG    | vector_store | Upserted 39 chunks for GEM/2026/B/7488203
2026-05-27 10:17:49 | DEBUG    | vector_store | Upserted 66 chunks for GEM/2026/B/7509634
2026-05-27 10:17:50 | DEBUG    | vector_store | Upserted 27 chunks for GEM/2026/B/7509230
2026-05-27 10:17:51 | DEBUG    | vector_store | Upserted 43 chunks for GEM/2026/B/7479083
2026-05-27 10:17:53 | DEBUG    | vector_store | Upserted 48 chunks for GEM/2026/B/7514614
2026-05-27 10:17:54 | DEBUG    | vector_store | Upserted 54 chunks for GEM/2026/B/7506622
2026-05-27 10:17:54 | INFO     | vector_store |   Indexed 40/89
2026-05-27 10:17:55 | DEBUG    | vector_store | Upserted 39 chunks for GEM/2026/B/7501124
2026-05-27 10:17:57 | DEBUG    | vector_store | Upserted 46 chunks for GEM/2026/B/7492610
2026-05-27 10:17:58 | DEBUG    | vector_store | Upserted 43 chunks for GEM/2026/B/7494843
2026-05-27 10:17:59 | DEBUG    | vector_store | Upserted 38 chunks for GEM/2026/B/7497122
2026-05-27 10:18:02 | DEBUG    | vector_store | Upserted 138 chunks for GEM/2026/B/7499633
2026-05-27 10:18:03 | DEBUG    | vector_store | Upserted 44 chunks for GEM/2026/B/7501045
2026-05-27 10:18:04 | DEBUG    | vector_store | Upserted 32 chunks for GEM/2026/B/7510269
2026-05-27 10:18:05 | DEBUG    | vector_store | Upserted 29 chunks for GEM/2026/B/7514716
2026-05-27 10:18:06 | DEBUG    | vector_store | Upserted 31 chunks for GEM/2026/B/7514898
2026-05-27 10:18:07 | DEBUG    | vector_store | Upserted 34 chunks for GEM/2026/B/7498190
2026-05-27 10:18:07 | INFO     | vector_store |   Indexed 50/89
2026-05-27 10:18:08 | DEBUG    | vector_store | Upserted 53 chunks for GEM/2026/B/7500220
2026-05-27 10:18:09 | DEBUG    | vector_store | Upserted 29 chunks for GEM/2026/B/7500250
2026-05-27 10:18:10 | DEBUG    | vector_store | Upserted 26 chunks for GEM/2026/B/7501435
2026-05-27 10:18:11 | DEBUG    | vector_store | Upserted 38 chunks for GEM/2026/B/7501521
2026-05-27 10:18:12 | DEBUG    | vector_store | Upserted 37 chunks for GEM/2026/B/7502651
2026-05-27 10:18:13 | DEBUG    | vector_store | Upserted 36 chunks for GEM/2026/B/7503109
2026-05-27 10:18:13 | DEBUG    | vector_store | Upserted 26 chunks for GEM/2026/B/7504206
2026-05-27 10:18:14 | DEBUG    | vector_store | Upserted 26 chunks for GEM/2026/B/7504365
2026-05-27 10:18:15 | DEBUG    | vector_store | Upserted 34 chunks for GEM/2025/B/6812056
2026-05-27 10:18:16 | DEBUG    | vector_store | Upserted 32 chunks for GEM/2026/B/7461528
2026-05-27 10:18:16 | INFO     | vector_store |   Indexed 60/89
2026-05-27 10:18:17 | DEBUG    | vector_store | Upserted 31 chunks for GEM/2026/B/7485827
2026-05-27 10:18:18 | DEBUG    | vector_store | Upserted 47 chunks for GEM/2026/B/7268255
